CODIGO_UNICO,NOMBRE_INVERSION,AVANCE_FISICO,MONTO_VIABLE,DEPARTAMENTO,PROVINCIA,BENEFICIARIO,SECTOR,COSTO_ACTUALIZADO,PIM_ANIO_ACTUAL,TIPO_INVERSION,EFICIENCIA_AVANCE,BENEFICIARIOS_POR_MILLON,INDICE_PRIORIDAD,CATEGORIA_PROYECTO,ESTADO_AVANCE
2638923,CREACION DEL SERVICIO DE TRANSITABILIDAD VIAL INTERURBANA EN TROCHA CARROZABLE PUMALLAULLI   DISTRITO DE COCHARCAS DE LA PROVINCIA DE CHINCHEROS DEL DEPARTAMENTO DE APURIMAC,90.0,227530.12,APURIMAC,CHINCHEROS,213,GOBIERNOS LOCALES,227530.12,19500,PROYECTO DE INVERSION,395.5520262548097,936.1397954697164,0.6699970957274035,PEQUEÑO,AVANZADO
2625696,"MEJORAMIENTO DEL SERVICIO DE MOVILIDAD URBANA EN JR. SHIHUAHUACO (DESDE LA CUADRA 1 HASTA LA CUADRA 4), JR HUAMBA (CUADRA 1), JR. 9 DE FEBRERO (CUADRA 1 Y 2), JR. MASHONASTE (CUADRA 1), JR. QUILLABORDON (CUADRA 1 Y 2), DE LA  ZONA URBANA DEL   DISTRITO DE NUEVA REQUENA DE LA PROVINCIA DE CORONEL PORTILLO DEL DEPARTAMENTO DE UCAYALI",0.0,3582278.74,UCAYALI,CORONEL PORTILLO,2033,GOBIERNOS LOCALES,5033574.13,33560,PROYECTO DE INVERSION,0.0,567.5158600304788,0.3999538120741099,MEGA,SIN_INICIAR
2536811,CREACION DEL SERVICIO DE CAMINO VECINAL DE LA COMUNIDAD DE HUANCUIRE - SECTOR DE SUYTUYO - MOCCOPATA Y SECTOR SUYTUYO - LLACTANI DE LA COMUNIDAD CAMPESINA DE PATARIO  DISTRITO DE CHALLHUAHUACHO - PROVINCIA DE COTABAMBAS - DEPARTAMENTO DE APURIMAC,0.0,4383761.32,APURIMAC,COTABAMBAS,170,GOBIERNOS LOCALES,5205573.79,0,PROYECTO DE INVERSION,0.0,38.77948355089733,0.3999426667428181,MEGA,SIN_INICIAR
2675080,MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE PRÁCTICA DEPORTIVA Y/O RECREATIVA EN COMPLEJO DEPORTIVO FRANCISCO LAZO   DISTRITO DE LINCE DE LA PROVINCIA DE LIMA DEL DEPARTAMENTO DE LIMA,0.0,15824969.79,LIMA,LIMA,62049,GOBIERNOS LOCALES,15824969.79,714375,PROYECTO DE INVERSION,0.0,3920.955352420929,0.3998145400501848,MEGA,SIN_INICIAR
2509110,CREACION DE LOS SERVICIOS DE LOSA DE REACREACION MULTIUSO EN LA LOCALIDAD DE SAN LORENZO DE COCHABAMBA DEL DISTRITO DE LACHAQUI - PROVINCIA DE CANTA - DEPARTAMENTO DE LIMA,0.0,260905.27,LIMA,CANTA,156,GOBIERNOS LOCALES,375095.0,0,PROYECTO DE INVERSION,0.0,597.9181639374323,0.3999966388204616,MEDIANO,SIN_INICIAR
2565912,CREACION DE LA TROCHA CARROZABLE EN LA CALLE HUANCAYO EN LA LOCALIDAD DE CACRA DEL DISTRITO DE CACRA - PROVINCIA DE YAUYOS - DEPARTAMENTO DE LIMA,0.0,567034.58,LIMA,YAUYOS,140,GOBIERNOS LOCALES,570034.58,0,PROYECTO DE INVERSION,0.0,246.89852248517192,0.3999926253334677,MEDIANO,SIN_INICIAR
2400976,"MEJORAMIENTO DEL CONTROL DE CONEXIONES CLANDESTINAS CENTRO POBLADO DE BANQUILLO, CENTRO POBLADO DE BAÑOS - DISTRITO DE BELLAVISTA - PROVINCIA DE BELLAVISTA - REGION SAN MARTIN",0.0,1098944.79,SAN MARTIN,BELLAVISTA,298,GOBIERNOS LOCALES,1258084.17,0,PROYECTO DE INVERSION,0.0,271.1692186101542,0.3999857168083529,GRANDE,SIN_INICIAR
2662628,"CONSTRUCCION DE COBERTURA Y SERVICIOS HIGIENICOS Y/O VESTIDORES EN EL(LA) INSTITUCION EDUCATIVA SAN MARTIN DE TOURS EN EL CENTRO POBLADO POMAHUACA, DISTRITO DE POMAHUACA, PROVINCIA JAEN, DEPARTAMENTO CAJAMARCA",0.0,376041.42,CAJAMARCA,JAEN,0,GOBIERNOS LOCALES,376041.42,0,INVERSIONES IOARR,0.0,0.0,0.3999950768288867,MEDIANO,SIN_INICIAR
2573028,"MEJORAMIENTO DE LOS SERVICIOS DE APOYO AL DESARROLLO PRODUCTIVO EN PRODUCTORES AGROPECUARIOS, ARTESANALES, GASTRONOMICOS Y TURISTICOS ,    DISTRITO DE COLQUEPATA DE LA PROVINCIA DE PAUCARTAMBO DEL DEPARTAMENTO DE CUSCO",40.88,3111083.9,CUSCO,PAUCARTAMBO,2391,GOBIERNOS LOCALES,3501375.44,500000,PROYECTO DE INVERSION,13.140114929076647,768.5424362872374,0.522600106351218,MEGA,MEDIO
2258427,"MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD VEHICULAR Y PEATONAL EN LA VIAS PRINCIPALES DE LA ASOC. DE VIVIENDA VILLA MAGISTERIAL, DISTRITO DE CERRO COLORADO - AREQUIPA - AREQUIPA",100.0,2949151.0,AREQUIPA,AREQUIPA,3801,GOBIERNOS LOCALES,4516994.05,16200,PIP MAYOR (SNIP),33.90806371053907,1288.84550163759,0.6999627200230705,MEGA,COMPLETADO
